rule,string,count
290,0100010010000000,3
291,1100010010000000,4
292,0010010010000000,3
293,1010010010000000,4
294,0110010010000000,4
295,1110010010000000,5
296,0001010010000000,3
297,1001010010000000,4
298,0101010010000000,4
299,1101010010000000,5
300,0011010010000000,4
301,1011010010000000,5
302,0111010010000000,5
303,1111010010000000,6
304,0000110010000000,3
305,1000110010000000,4
306,0100110010000000,4
307,1100110010000000,5
308,0010110010000000,4
309,1010110010000000,5
310,0110110010000000,5
311,1110110010000000,6
312,0001110010000000,4
313,1001110010000000,5
314,0101110010000000,5
315,1101110010000000,6
316,0011110010000000,5
317,1011110010000000,6
318,0111110010000000,6
319,1111110010000000,7
320,0000001010000000,2
321,1000001010000000,3
322,0100001010000000,3
323,1100001010000000,4
324,0010001010000000,3
325,1010001010000000,4
326,0110001010000000,4
327,1110001010000000,5
328,0001001010000000,3
329,1001001010000000,4
330,0101001010000000,4
331,1101001010000000,5
332,0011001010000000,4
333,1011001010000000,5
334,0111001010000000,5
335,1111001010000000,6
336,0000101010000000,3
337,1000101010000000,4
338,0100101010000000,4
339,1100101010000000,5
340,0010101010000000,4
341,1010101010000000,5
342,0110101010000000,5
343,1110101010000000,6
344,0001101010000000,4
345,1001101010000000,5
346,0101101010000000,5
347,1101101010000000,6
348,0011101010000000,5
349,1011101010000000,6
350,0111101010000000,6
351,1111101010000000,7
352,0000011010000000,3
353,1000011010000000,4
354,0100011010000000,4
355,1100011010000000,5
356,0010011010000000,4
357,1010011010000000,5
358,0110011010000000,5
359,1110011010000000,6
360,0001011010000000,4
361,1001011010000000,5
362,0101011010000000,5
363,1101011010000000,6
364,0011011010000000,5
365,1011011010000000,6
366,0111011010000000,6
367,1111011010000000,7
368,0000111010000000,4
369,1000111010000000,5
370,0100111010000000,5
371,1100111010000000,6
372,0010111010000000,5
373,1010111010000000,6
374,0110111010000000,6
375,1110111010000000,7
376,0001111010000000,5
377,1001111010000000,6
378,0101111010000000,6
379,1101111010000000,7
380,0011111010000000,6
381,1011111010000000,7
382,0111111010000000,7
383,1111111010000000,8
384,0000000110000000,2
385,1000000110000000,3
386,0100000110000000,3
387,1100000110000000,4
388,0010000110000000,3
389,1010000110000000,4
390,0110000110000000,4
391,1110000110000000,5
392,0001000110000000,3
393,1001000110000000,4
394,0101000110000000,4
395,1101000110000000,5
396,0011000110000000,4
397,1011000110000000,5
398,0111000110000000,5
399,1111000110000000,6
400,0000100110000000,3
401,1000100110000000,4
402,0100100110000000,4
403,1100100110000000,5
404,0010100110000000,4
405,1010100110000000,5
406,0110100110000000,5
407,1110100110000000,6
408,0001100110000000,4
409,1001100110000000,5
410,0101100110000000,5
411,1101100110000000,6
412,0011100110000000,5
413,1011100110000000,6
414,0111100110000000,6
415,1111100110000000,7
416,0000010110000000,3
417,1000010110000000,4
418,0100010110000000,4
419,1100010110000000,5
420,0010010110000000,4
421,1010010110000000,5
422,0110010110000000,5
423,1110010110000000,6
424,0001010110000000,4
425,1001010110000000,5
426,0101010110000000,5
427,1101010110000000,6
428,0011010110000000,5
429,1011010110000000,6
430,0111010110000000,6
431,1111010110000000,7
432,0000110110000000,4
433,1000110110000000,5
434,0100110110000000,5
435,1100110110000000,6
436,0010110110000000,5
437,1010110110000000,6
438,0110110110000000,6
439,1110110110000000,7
440,0001110110000000,5
441,1001110110000000,6
442,0101110110000000,6
443,1101110110000000,7
444,0011110110000000,6
445,1011110110000000,7
446,0111110110000000,7
447,1111110110000000,8
448,0000001110000000,3
449,1000001110000000,4
450,0100001110000000,4
451,1100001110000000,5
452,0010001110000000,4
453,1010001110000000,5
454,0110001110000000,5
455,1110001110000000,6
456,0001001110000000,4
457,1001001110000000,5
458,0101001110000000,5
459,1101001110000000,6
460,0011001110000000,5
461,1011001110000000,6
462,0111001110000000,6
463,1111001110000000,7
464,0000101110000000,4
465,1000101110000000,5
466,0100101110000000,5
467,1100101110000000,6
468,0010101110000000,5
469,1010101110000000,6
470,0110101110000000,6
471,1110101110000000,7
472,0001101110000000,5
473,1001101110000000,6
474,0101101110000000,6
475,1101101110000000,7
476,0011101110000000,6
477,1011101110000000,7
478,0111101110000000,7
479,1111101110000000,8
480,0000011110000000,4
481,1000011110000000,5
482,0100011110000000,5
483,1100011110000000,6
484,0010011110000000,5
485,1010011110000000,6
486,0110011110000000,6
487,1110011110000000,7
488,0001011110000000,5
489,1001011110000000,6
490,0101011110000000,6
491,1101011110000000,7
492,0011011110000000,6
493,1011011110000000,7
494,0111011110000000,7
495,1111011110000000,8
496,0000111110000000,5
497,1000111110000000,6
498,0100111110000000,6
499,1100111110000000,7
500,0010111110000000,6
501,1010111110000000,7
502,0110111110000000,7
503,1110111110000000,8
504,0001111110000000,6
505,1001111110000000,7
506,0101111110000000,7
507,1101111110000000,8
508,0011111110000000,7
509,1011111110000000,8
510,0111111110000000,8
511,1111111110000000,9
512,0000000001000000,1
513,1000000001000000,2
514,0100000001000000,2
515,1100000001000000,3
516,0010000001000000,2
517,1010000001000000,3
518,0110000001000000,3
519,1110000001000000,4
520,0001000001000000,2
521,1001000001000000,3
522,0101000001000000,3
523,1101000001000000,4
